Section Number,Title,Text Preview,Suggested Tags,Reason
1140A.6,Equipment for hearing impaired people.,Equipment for hearing impaired people. Telephones shall be equipped with a receiver that generates a magnetic field in the area of the recei…,NONE,no match
1140A.7,Height.,"Height. When in use, the touch surface of TTY keypads shall be 34 inches (864 mm) minimum above the finish floor. When in use, the touch sur…",NONE,no match
1140A.8,Controls.,Controls. Telephones shall have push-button controls where service for such equipment is available. Controls and operating mechanisms shall …,NONE,no match
1140A.9,Cord length.,Cord length. The cord from the telephone to the handset shall be at least 29 inches (737 mm) long. The cord from the telephone to the handse…,NONE,no match
1141A,ACCESSIBLE SWIMMING POOLS,,NONE,no match
1141A.1,General.,General. Swimming pools in common use areas shall comply with the provisions of this section and Chapter 31B. Swimming pools in common use a…,NONE,no match
1141A.2,Swimming pool deck areas.,"Swimming pool deck areas. Swimming pool deck areas must be accessible, and a mechanism to assist persons with disabilities gain entry into t…",NONE,no match
1142A,"ELECTRICAL RECEPTACLE,SWITCH AND CONTROL HEIGHTS",,NONE,no match
1142A.1,Receptacle heights.,Receptacle heights. Electrical receptacle outlets on branch circuits of 30 amperes or less and communication system receptacles shall be loc…,kitchens,keywords:kitchens
1142A.2,Switch and control heights.,Switch and control heights. Controls or switches intended to be used by the occupant of the room or area to control lighting and receptacle …,kitchens,keywords:kitchens
1143A,SIGNAGE,,NONE,no match
1143A.1,General.,General. When signs and/or identification devices are provided they shall comply with this section. When both visual and tactile characters …,NONE,no match
1143A.2,Identification signs.,"Identification signs. When signs identify permanent rooms and spaces of a building or site, they shall comply with Sections 1143A.1, 1143A.5…",NONE,no match
1143A.3,Directional and informational signs.,"Directional and informational signs. When signs direct to or give information about permanent rooms and spaces of a building or site, they s…",NONE,no match
1143A.4,Accessibility signs.,"Accessibility signs. When signs identify, direct or give information about accessible elements and features of a building or site, they shal…",NONE,no match
1143A.5,Visual characters.,Visual characters. Signs with visual characters shall comply with this section. 1. Finish and contrast. Characters and their background shal…,NONE,no match
1143A.6,Raised characters and pictorial symbol signs.,Raised characters and pictorial symbol signs. When raised characters are required or when pictorial symbols (pictograms) are used on such si…,doors,keywords:doors
1143A.7,Position.,"Position. Braille shall be positioned below the corresponding text in a horizontal format, flush left or centered. If text is multilined, br…",NONE,no match
1143A.8,Symbols of accessibility.,Symbols of accessibility. Symbols of accessibility and their background shall have a non-glare finish. Symbols of accessibility shall contra…,bathrooms,keywords:bathrooms
1144A,RESERVED,,NONE,Skipped: definitional/scoping
1145A,RESERVED,,NONE,Skipped: definitional/scoping
1146A,RESERVED,,NONE,Skipped: definitional/scoping
1147A,RESERVED,,NONE,Skipped: definitional/scoping
1148A,RESERVED,,NONE,Skipped: definitional/scoping
1149A,RESERVED,,NONE,Skipped: definitional/scoping
1150A,Additional requirements for Section 1150A.,,NONE,no match
1150A.1,General.,"General. Covered multifamily dwellings in buildings without an elevator, located on sites with difficult terrain conditions or unusual chara…",NONE,no match
1150A.2,Additional requirements for Section 1150A.,Additional requirements for Section 1150A. All other ground floor dwelling units in nonelevator buildings shall be made to comply with the f…,"bathrooms,kitchens",keywords:bathrooms/kitchens
11B-100,Handrails.,,NONE,no match
11B-1001,GENERAL,,NONE,no match
11B-1001.1,Scope.,Scope. The provisions of Division 10 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The prov…,NONE,Skipped: definitional/scoping
11B-1002,AMUSEMENT RIDES,,NONE,no match
11B-1002.1,General.,General. Amusement rides shall comply with Section 11B-1002. Amusement rides shall comply with Section 11B-1002.,NONE,no match
11B-1002.2,Accessible routes.,Accessible routes. Accessible routes serving amusement rides shall comply with Division 4. Exceptions: 1. In load or unload areas and on amu…,NONE,no match
11B-1002.3,Load and unload areas.,Load and unload areas. A turning space complying with Sections 11B-304.2 and 11B-304.3 shall be provided in load and unload areas. A turning…,NONE,no match
11B-1002.4,Shoulder-to-shoulder seating.,"Shoulder-to-shoulder seating. Where an amusement ride provides shoulder-to-shoulder seating, companion seats shall be shoulder-to-shoulder w…",NONE,no match
11B-1002.5,Wheelchair storage space.,Wheelchair storage space. Wheelchair storage spaces complying with Section 11B-305 shall be provided in or adjacent to unload areas for each…,NONE,no match
11B-1002.6,Wheelchair storage space.,Wheelchair storage space. Wheelchair storage spaces complying with Section 11B-305 shall be provided in or adjacent to unload areas for each…,NONE,no match
11B-1003,RECREATIONAL BOATING FACILITIES,,NONE,no match
11B-1003.1,General.,General. Recreational boating facilities shall comply with Section 11B-1003. Recreational boating facilities shall comply with Section 11B-1…,NONE,no match
11B-1003.2,Boarding piers at boat launch ramps.,Boarding piers at boat launch ramps. Accessible routes serving boarding piers at boat launch ramps shall be permitted to use the exceptions …,NONE,no match
11B-1003.3,Boarding pier clearances.,Boarding pier clearances. Boarding piers at boat launch ramps shall provide clear pier space 60 inches (1524 mm) wide minimum and shall exte…,NONE,no match
11B-1004,EXERCISE MACHINES AND EQUIPMENT,,NONE,no match
11B-1004.1,Clear floor space.,Clear floor space. Exercise machines and equipment shall have a clear floor space complying with Section 11B-305 positioned for transfer or …,NONE,no match
11B-1005,FISHING PIERS AND PLATFORMS,,NONE,no match
11B-1005.1,Accessible routes.,"Accessible routes. Accessible routes serving fishing piers and platforms, including gangways and floating piers, shall comply with Division …",NONE,no match
11B-1005.2,Dispersion.,"Dispersion. Railings, guards or handrails required to comply with Section 11B-1005.2.1 shall be dispersed throughout the fishing pier or pla…",NONE,no match
11B-1005.3,Extended ground or deck surface.,Extended ground or deck surface. The ground or deck surface shall extend 12 inches (305 mm) minimum beyond the inside face of the railing. T…,NONE,no match
11B-1005.4,Clear floor or ground space.,"Clear floor or ground space. At each location where there are railings, guards or handrails complying with Section 11B-1005.2.1, a clear flo…",NONE,no match
11B-1005.5,Turning space.,Turning space. At least one turning space complying with Section 11B-304.3 shall be provided on fishing piers and platforms. At least one tu…,NONE,no match
11B-1006,GOLF FACILITIES,,NONE,no match
11B-1006.1,General.,General. Golf facilities shall comply with Section 11B-1006. Golf facilities shall comply with Section 11B-1006.,NONE,no match
11B-1006.2,Accessible routes.,"Accessible routes. Accessible routes serving teeing grounds, practice teeing grounds, putting greens, practice putting greens, teeing statio…",NONE,no match
11B-1006.3,Barriers.,"Barriers. Where curbs or other constructed barriers prevent golf cars from entering a fairway, openings 60 inches (1524 mm) wide minimum sha…",NONE,no match
11B-1006.4,Weather shelters.,Weather shelters. A clear floor or ground space 60 inches (1524 mm) minimum by 96 inches (2438 mm) minimum shall be provided within weather …,NONE,no match
11B-1007,MINIATURE GOLF FACILITIES,,NONE,no match
11B-1007.1,General.,General. Miniature golf facilities shall comply with Section 11B-1007. Miniature golf facilities shall comply with Section 11B-1007.,NONE,no match
11B-1007.2,Accessible routes.,Accessible routes. Accessible routes serving holes on miniature golf courses shall comply with Division 4. Accessible routes located on play…,NONE,no match
11B-1007.3,Golf club reach range area.,Golf club reach range area. All areas within holes where golf balls rest shall be within 36 inches (914 mm) maximum of a clear floor or grou…,NONE,no match
11B-1008,PLAY AREAS,,NONE,no match
11B-1008.1,General.,General. Play areas shall comply with Section 11B-1008. Play areas shall comply with Section 11B-1008.,NONE,no match
11B-1008.2,Use zones.,Use zones. Ground surfaces located within use zones shall comply with ASTM F1292 (1999 edition or 2004 edition). Ground surfaces located wit…,NONE,no match
11B-1008.3,Contrasting stripe.,Contrasting stripe. Striping complying with Section 11B-504.4.1 shall be provided at each transfer step. Striping complying with Section 11B…,NONE,no match
11B-1008.4,Transfer supports.,"Transfer supports. Where play components require transfer to entry points or seats, at least one means of support for transferring shall be …",NONE,no match
11B-1009,"SWIMMING POOLS, WADING POOLS AND SPAS",,NONE,no match
11B-1009.1,General.,"General. Where provided, pool lifts, sloped entries, transfer walls, transfer systems and pool stairs shall comply with Section 11B-1009. Wh…",NONE,no match
11B-1009.2,Lifting capacity.,Lifting capacity. Single person pool lifts shall have a weight capacity of 300 pounds (136 kg) minimum and be capable of sustaining a static…,NONE,no match
11B-1009.3,Handrails.,Handrails. At least two handrails complying with Section 11B-505 shall be provided on the sloped entry. The clear width between required han…,NONE,no match
11B-1009.4,Grab bars.,Grab bars. At least one grab bar complying with Section 11B-609 shall be provided on the transfer wall. Grab bars shall be perpendicular to …,NONE,no match
11B-1009.5,Grab bars.,Grab bars. At least one grab bar on each transfer step and the transfer platform or a continuous grab bar serving each transfer step and the…,NONE,no match
11B-1009.6,Handrails.,Handrails. The width between handrails shall be 20 inches (508 mm) minimum and 24 inches (610 mm) maximum. Handrail extensions required by S…,NONE,no match
11B-101,Turning space.,,NONE,no match
11B-101.1,General.,"General. This chapter contains scoping and technical requirements for accessibility to sites, facilities, buildings and elements by individu…",NONE,no match
11B-101.2,Reserved.,Reserved.,NONE,Skipped: definitional/scoping
11B-1010,SHOOTING FACILITIES WITH FIRING POSITIONS,,NONE,no match
11B-1010.1,Turning space.,Turning space. A circular turning space 60 inches (1524 mm) diameter minimum with slopes not steeper than 1:48 shall be provided at shooting…,NONE,no match
11B-102,Dimensions for adults and children.,,NONE,no match
11B-103,Equivalent facilitation.,,NONE,no match
11B-104,CONVENTIONS,,NONE,no match
11B-104.1,Construction and manufacturing tolerances.,Construction and manufacturing tolerances. All dimensions are subject to conventional industry tolerances except where the requirement is st…,NONE,no match
11B-104.2,Calculation of percentages.,Calculation of percentages. Where the required number of elements or facilities to be provided is determined by calculations of ratios or pe…,NONE,no match
11B-104.3,Figures.,"Figures. Unless specifically stated otherwise, figures are provided for informational purposes only. Unless specifically stated otherwise, f…",NONE,no match
11B-105,REFERENCED STANDARDS,,NONE,no match
11B-105.1,General.,General. See Chapter 35. See Chapter 35.,NONE,no match
11B-106,DEFINITIONS,,NONE,Skipped: definitional/scoping
11B-106.1,General.,"General. For the purpose of this chapter, the terms listed in Section 11B-106.5 and defined in Chapter 2 have the indicated meaning. For the…",NONE,no match
11B-106.2,Terms defined in referenced standards.,"Terms defined in referenced standards. Terms not listed in Section 11B-106.5 and not defined in Chapter 2, Section 202, but specifically def…",NONE,no match
11B-106.3,Undefined terms.,"Undefined terms. The meaning of terms not specifically listed in Section 11B-106.5, and not defined in Chapter 2, Section 202 or in referenc…",NONE,no match
11B-106.4,Interchangeability.,"Interchangeability. See Chapter 2, Section 201.2. See Chapter 2, Section 201.2.",NONE,no match
11B-106.5,Defined terms.,"Defined terms. The following terms are defined in Chapter 2, Section 202. ACCESS AISLE ACCESSIBILITY ACCESSIBILITY FUNCTION BUTTON ACCESSIBL…","bathrooms,doors,kitchens",keywords:bathrooms/doors/kitchens
11B-107,Special conditions appeals action.,,NONE,no match
11B-108,Maintenance of accessible features.,,NONE,no match
11B-201,APPLICATION,,NONE,Skipped: definitional/scoping
11B-201.1,Scope.,Scope. All areas of newly designed and newly constructed buildings and facilities and altered portions of existing buildings and facilities …,NONE,Skipped: definitional/scoping
11B-201.2,Application based on building or facility use.,"Application based on building or facility use. Where a site, building, facility, room or space contains more than one use, each portion shal…",NONE,Skipped: definitional/scoping
11B-201.3,Temporary and permanent structures.,Temporary and permanent structures. These requirements shall apply to temporary and permanent buildings and facilities. These requirements s…,NONE,Skipped: definitional/scoping
11B-201.4,Construction support facilities.,Construction support facilities. These requirements shall apply to temporary or permanent construction support facilities for uses and activ…,bathrooms,keywords:bathrooms
11B-202,General.,,NONE,Skipped: definitional/scoping
11B-202.1,General.,General. Additions and alterations to existing buildings or facilities shall comply with Section 11B-202. Additions and alterations to exist…,NONE,Skipped: definitional/scoping
11B-202.2,Additions.,Additions. Each addition to an existing building or facility shall comply with the requirements for new construction and shall comply with S…,NONE,Skipped: definitional/scoping
11B-202.3,Alteration of single elements.,"Alteration of single elements. If alterations of single elements, when considered together, amount to an alteration of a room or space in a …",NONE,Skipped: definitional/scoping
11B-202.4,"Path of travel requirements in alterations, additions and structural repairs.","Path of travel requirements in alterations, additions and structural repairs. When alterations or additions are made to existing buildings o…","bathrooms,doors",keywords:bathrooms/doors
11B-202.5,Alterations to qualified historic buildings and facilities.,Alterations to qualified historic buildings and facilities. Alterations to a qualified historic building or facility shall comply with the S…,NONE,Skipped: definitional/scoping
11B-203,General.,,NONE,Skipped: definitional/scoping
11B-203.1,General.,"General. Sites, buildings, facilities and elements are exempt from these requirements to the extent specified by 11B-203. Sites, buildings, …",NONE,Skipped: definitional/scoping
11B-203.10,"Raised refereeing, judging and scoring areas.","Raised refereeing, judging and scoring areas. Raised structures used solely for refereeing, judging or scoring a sport shall not be required…",NONE,Skipped: definitional/scoping
11B-203.11,Water slides.,Water slides. Water slides shall not be required to comply with these requirements or to be on an accessible route. An accessible route comp…,NONE,Skipped: definitional/scoping
11B-203.12,Animal containment areas.,Animal containment areas. Animal containment areas that are not for public use shall not be required to comply with these requirements or to…,NONE,Skipped: definitional/scoping
11B-203.13,Raised boxing or wrestling rings.,Raised boxing or wrestling rings. Raised boxing or wrestling rings shall not be required to comply with these requirements or to be on an ac…,NONE,Skipped: definitional/scoping
11B-203.14,Raised diving boards and diving platforms.,Raised diving boards and diving platforms. Raised diving boards and diving platforms shall not be required to comply with these requirements…,NONE,Skipped: definitional/scoping
11B-203.2,Construction sites.,"Construction sites. Structures and sites directly associated with the actual processes of construction, including but not limited to, scaffo…",NONE,Skipped: definitional/scoping
11B-203.3,Raised areas.,"Raised areas. Areas raised primarily for purposes of security, life safety or fire safety, including but not limited to observation or looko…",NONE,Skipped: definitional/scoping
11B-203.4,Limited access spaces.,"Limited access spaces. Spaces not customarily occupied and accessed only by ladders, catwalks, crawl spaces or very narrow passageways shall…",NONE,Skipped: definitional/scoping
11B-203.5,Machinery spaces.,"Machinery spaces. Spaces frequented only by service personnel for maintenance, repair or occasional monitoring of equipment shall not be req…",NONE,Skipped: definitional/scoping
11B-203.6,Single occupant structures.,"Single occupant structures. Single occupant structures accessed only by passageways below grade or elevated above standard curb height, incl…",NONE,Skipped: definitional/scoping
11B-203.7,Detention and correctional facilities.,"Detention and correctional facilities. In detention and correctional facilities, common use areas that are used only by inmates or detainees…",NONE,Skipped: definitional/scoping
11B-203.8,Residential facilities.,"Residential facilities. In residential facilities, common use areas that do not serve residential dwelling units required to provide mobilit…",NONE,Skipped: definitional/scoping
11B-203.9,Employee workstations.,Employee workstations. Employee workstations shall be on an accessible route complying with Division 4. Spaces and elements within employee …,NONE,Skipped: definitional/scoping
11B-204,PROTRUDING OBJECTS,,NONE,Skipped: definitional/scoping
11B-204.1,General.,"General. Protruding objects on circulation paths shall comply with Section 11B-307. Exceptions: 1. Within areas of sport activity, protrudin…",NONE,Skipped: definitional/scoping
11B-205,OPERABLE PARTS,,NONE,Skipped: definitional/scoping
11B-205.1,General.,"General. Operable parts on accessible elements, accessible routes, and in accessible rooms and spaces shall comply with Section 11B-309. Exc…",kitchens,keywords:kitchens
11B-206,Alterations to individual residential dwelling units,,NONE,Skipped: definitional/scoping
11B-206.1,General.,General. Accessible routes shall be provided in accordance with Section 11B-206 and shall comply with Division 4. Accessible routes shall be…,NONE,Skipped: definitional/scoping
11B-206.2,Pedestrian street crossings.,"Pedestrian street crossings. Where walks or sidewalks are provided, a curb ramp, blended transition or a combination of curb ramps and blend…",NONE,Skipped: definitional/scoping
11B-206.3,Location.,Location. Accessible routes shall coincide with or be located in the same area as general circulation paths. Where circulation paths are int…,NONE,Skipped: definitional/scoping
11B-206.4,Medical care and long-term care facilities,Medical care and long-term care facilities Weather protection by a canopy or roof overhang shall be provided at a minimum of one accessible …,NONE,Skipped: definitional/scoping
11B-206.5,Residential dwelling units.,Residential dwelling units. In residential dwelling units required to provide mobility features complying with Sections 11B-809.2 through 11…,NONE,Skipped: definitional/scoping
11B-206.6,Existing elevators.,"Existing elevators. Where elements of existing elevators are altered, the same element shall also be altered in all elevators that are progr…",NONE,Skipped: definitional/scoping
11B-206.7,Recreational boating facilities and fishing piers and platforms.,Recreational boating facilities and fishing piers and platforms. Platform lifts shall be permitted to be used instead of gangways that are p…,NONE,Skipped: definitional/scoping
11B-206.8,Security barriers.,"Security barriers. Security barriers, including but not limited to security bollards and security check points, shall not obstruct a require…",NONE,Skipped: definitional/scoping
11B-207,ACCESSIBLE MEANS OF EGRESS,,NONE,Skipped: definitional/scoping
11B-207.1,General.,"General. Means of egress shall comply with Chapter 10, Section 1009 and Section 11B-207. Exceptions: 1. Where means of egress are permitted …",NONE,Skipped: definitional/scoping
11B-207.2,Platform lifts.,"Platform lifts. Standby power shall be provided for platform lifts permitted by Chapter 10, Section 1009.5 to serve as a part of an accessib…",NONE,Skipped: definitional/scoping
11B-208,PARKING SPACES,,NONE,Skipped: definitional/scoping
11B-208.1,General.,"General. Where parking spaces are provided, parking spaces shall be provided in accordance with Section 11B-208. For the purposes of this se…",NONE,Skipped: definitional/scoping
11B-208.2,Van parking spaces.,"Van parking spaces. For every six or fraction of six parking spaces required by Section 11B-208.2 to comply with Section 11B-502, at least o…",NONE,Skipped: definitional/scoping
11B-208.3,Private garages accessory to residential dwelling units.,Private garages accessory to residential dwelling units. Private garages accessory to residential dwelling units shall comply with Section 1…,NONE,no match
11B-209,General.,,NONE,Skipped: definitional/scoping
11B-209.1,General.,General. Passenger drop-off and loading zones shall be provided in accordance with Section 11B-209. Passenger drop-off and loading zones sha…,NONE,Skipped: definitional/scoping
11B-209.2,On-street bus stops.,On-street bus stops. On-street bus stops shall comply with Section 11B-810.2 to the maximum extent practicable. On-street bus stops shall co…,NONE,Skipped: definitional/scoping
11B-209.3,Medical care and long-term care facilities.,Medical care and long-term care facilities. At least one passenger drop-off and loading zone complying with Section 11B-503 shall be provide…,NONE,Skipped: definitional/scoping
11B-209.4,Valet parking.,Valet parking. Parking facilities that provide valet parking services shall provide at least one passenger drop-off and loading zone complyi…,NONE,Skipped: definitional/scoping
11B-209.5,Mechanical access parking garages.,Mechanical access parking garages. Mechanical access parking garages shall provide at least one passenger drop-off and loading zone complyin…,NONE,Skipped: definitional/scoping
11B-210,STAIRWAYS,,NONE,Skipped: definitional/scoping
11B-210.1,General.,"General. Interior and exterior stairs shall comply with Section 11B-504. Exceptions: 1. In detention and correctional facilities, stairs tha…",NONE,Skipped: definitional/scoping
11B-211,More than minimum number.,,NONE,Skipped: definitional/scoping
11B-211.1,General.,"General. Where drinking fountains are provided on an exterior site, on a floor, or within a secured area they shall be provided in accordanc…",NONE,Skipped: definitional/scoping
11B-211.2,Minimum number.,"Minimum number. No fewer than two drinking fountains shall be provided. When provided, one drinking fountain shall comply with Sections 11B-…",NONE,Skipped: definitional/scoping
11B-211.3,More than minimum number.,"More than minimum number. Where more than the minimum number of drinking fountains specified in Section 11B-211.2 are provided, 50 percent o…",NONE,Skipped: definitional/scoping
11B-211.4,Bottle-filling stations.,Bottle-filling stations. Where bottle-filling stations are provided they shall comply with Section 11B-602.10. Exception: In detention or co…,NONE,Skipped: definitional/scoping
11B-212,"General.Where provided, kitchens, kitchenettes, wet bars and sinks shall comply with Section .",,kitchens,keywords:kitchens
11B-212.1,General.,"General. Where provided, kitchens, kitchenettes, wet bars and sinks shall comply with Section 11B-212. Where provided, kitchens, kitchenette…",kitchens,keywords:kitchens
11B-212.2,"Kitchens, kitchenettes and wet bars.","Kitchens, kitchenettes and wet bars. Kitchens, kitchenettes and wet bars shall comply with Section 11B-804. Kitchens, kitchenettes and wet b…",kitchens,keywords:kitchens
11B-212.3,Sinks.,"Sinks. Where sinks are provided, at least 5 percent, but no fewer than one, of each type provided in each accessible room or space shall com…",kitchens,keywords:kitchens
11B-213,Toilet facilities for designated user groups.,,NONE,Skipped: definitional/scoping
11B-213.1,Toilet facilities for designated user groups.,"Toilet facilities for designated user groups. Where separate toilet facilities are provided for the exclusive use of separate user groups, t…",NONE,Skipped: definitional/scoping
11B-213.2,Multi-user all-gender toilet facilities.,"Multi-user all-gender toilet facilities. Where multi-user all-gender toilet facilities are provided, they shall comply with Section 11B-213.…",NONE,Skipped: definitional/scoping
11B-213.3,Coat hooks and shelves.,"Coat hooks and shelves. Where coat hooks or shelves are provided in toilet rooms without toilet compartments, at least one of each type shal…",bathrooms,keywords:bathrooms
11B-214,General.,,NONE,Skipped: definitional/scoping
11B-214.1,General.,"General. Where provided, washing machines and clothes dryers shall comply with Section 11B-214. Where provided, washing machines and clothes…",NONE,Skipped: definitional/scoping
11B-214.2,Washing machines.,"Washing machines. Where three or fewer washing machines are provided, at least one shall comply with Section 11B-611. Where more than three …",NONE,Skipped: definitional/scoping
11B-214.3,Clothes dryers.,"Clothes dryers. Where three or fewer clothes dryers are provided, at least one shall comply with Section 11B-611. Where more than three clot…",NONE,Skipped: definitional/scoping
11B-215,General.,,NONE,Skipped: definitional/scoping
11B-215.1,General.,"General. Where fire alarm systems and carbon monoxide alarm systems provide audible alarm coverage, alarms shall comply with Section 11B-215…",NONE,Skipped: definitional/scoping
11B-215.2,Public and common use areas.,"Public and common use areas. Alarms in public use areas and common use areas shall comply with Chapter 9, Section 907.5.2.3.1. Alarms in pub…",NONE,Skipped: definitional/scoping
11B-215.3,Employee work areas.,"Employee work areas. Where employee work areas have audible alarm coverage, the wiring system shall be designed so that visible alarms compl…",NONE,Skipped: definitional/scoping
11B-215.4,Transient lodging.,"Transient lodging. Guest rooms required to comply with Section 11B-224.4 shall provide fire alarms complying with Chapter 9, Section 907.5.2…",NONE,Skipped: definitional/scoping
11B-215.5,Residential facilities.,"Residential facilities. Where provided in residential dwelling units required to comply with Section 11B-809.5, fire alarms shall comply wit…",NONE,Skipped: definitional/scoping
11B-216,Signs intended for use by pedestrians.,,NONE,Skipped: definitional/scoping
11B-216.1,General.,General. New or altered signs shall be provided in accordance with Section 11B-216 and shall comply with Section 11B-703. The addition of or…,NONE,Skipped: definitional/scoping
11B-216.10,Assistive listening systems,Assistive listening systems Each assembly area required by Section 11B-219 to provide assistive listening systems shall provide signs inform…,NONE,Skipped: definitional/scoping
11B-216.11,Check-out aisles,"Check-out aisles Where more than one check-out aisle is provided, check-out aisles complying with Section 11B-904.3 shall be identified by a…",NONE,Skipped: definitional/scoping
11B-216.12,Amusement rides,Amusement rides Signs identifying the type of access provided on amusement rides shall be provided at entries to queues and waiting lines. I…,NONE,Skipped: definitional/scoping
11B-216.13,Variable message signs,"Variable message signs Where provided in transportation facilities, variable message signs conveying transportation-related information shal…",NONE,Skipped: definitional/scoping
11B-216.2,Designations.,"Designations. Interior and exterior signs identifying permanent rooms and spaces shall comply with Sections 11B-703.1, 11B-703.2, 11B-703.3 …",NONE,Skipped: definitional/scoping
11B-216.3,Directional and informational signs.,Directional and informational signs. Signs that provide direction to or information about interior and exterior spaces and facilities of the…,NONE,Skipped: definitional/scoping
11B-216.4, Delayed egress locks.,"Delayed egress locks. Signs required by Chapter 10, Section 1010.2.13.1, Item 6.4 at doors with delayed egress locks shall comply with Secti…",NONE,Skipped: definitional/scoping
11B-216.5,Additional signs,Additional signs Signs within parking facilities containing parking spaces complying with Section 11B-502 shall comply with Section 11B-502.…,NONE,Skipped: definitional/scoping
11B-216.6,Entrances,"Entrances In existing buildings and facilities where not all entrances comply with Section 11B-404, entrances complying with Section 11B-404…",NONE,Skipped: definitional/scoping
11B-216.7,Elevators,"Elevators Where existing elevators do not comply with Section 11B-407, elevators complying with Section 11B-407 shall be clearly identified …",NONE,Skipped: definitional/scoping
11B-216.8,Signs at toilet and urinal compartments.,"Signs at toilet and urinal compartments. Where both toilet compartments and urinal compartments are provided, each individual compartment sh…",bathrooms,keywords:bathrooms
11B-216.9,Directional signs,Directional signs Directional signs indicating the location of the nearest public TTY shall be provided at all banks of public pay telephone…,NONE,Skipped: definitional/scoping
11B-217,General,,NONE,Skipped: definitional/scoping
11B-217.1,General,"General Where coin-operated public pay telephones, coinless public pay telephones, public closed-circuit telephones, public courtesy phones,…",NONE,Skipped: definitional/scoping
11B-217.2,Wheelchair accessible telephones,"Wheelchair accessible telephones Where public telephones are provided, wheelchair accessible telephones complying with Section 11B-704.2 sha…",NONE,Skipped: definitional/scoping
11B-217.3,Volume controls,Volume controls All public telephones shall have volume controls complying with Section 11B-704.3. All public telephones shall have volume c…,NONE,Skipped: definitional/scoping
11B-217.4,Detention and correctional facilities,"Detention and correctional facilities In detention and correctional facilities, where at least one pay telephone is provided in a secured ar…",NONE,Skipped: definitional/scoping
11B-217.5,Shelves for portable TTYs,"Shelves for portable TTYs Where a bank of telephones in the interior of a building consists of three or more public pay telephones, at least…",NONE,Skipped: definitional/scoping
11B-218,General,,NONE,Skipped: definitional/scoping
11B-218.1,General,General Transportation facilities shall comply with Section 11B-218. Transportation facilities shall comply with Section 11B-218.,NONE,Skipped: definitional/scoping
11B-218.2,New and altered fixed guideway stations,"New and altered fixed guideway stations New and altered stations in rapid rail, light rail, commuter rail, intercity rail, high speed rail a…",NONE,Skipped: definitional/scoping
11B-218.3,Key stations and existing intercity rail stations,Key stations and existing intercity rail stations Key stations and existing intercity rail stations shall comply with Sections 11B-810.5 thr…,NONE,Skipped: definitional/scoping
11B-218.4,Bus shelters,"Bus shelters Where provided, bus shelters shall comply with Section 11B-810.3. Where provided, bus shelters shall comply with Section 11B-81…",NONE,Skipped: definitional/scoping
11B-218.5,Other transportation facilities,"Other transportation facilities In other transportation facilities, public address systems shall comply with Section 11B-810.7 and clocks sh…",NONE,Skipped: definitional/scoping
11B-219,ASSISTIVE LISTENING SYSTEMS,,NONE,Skipped: definitional/scoping
11B-219.1,General,General Assistive listening systems shall be provided in accordance with Section 11B-219 and shall comply with Section 11B-706. Assistive li…,NONE,Skipped: definitional/scoping
11B-219.2,Required systems,"Required systems An assistive listening system shall be provided in assembly areas, including conference and meeting rooms. Exception: This …",NONE,Skipped: definitional/scoping
11B-219.3,Receivers,"Receivers The minimum number of receivers to be provided shall be equal to 4 percent of the total number of seats, but in no case less than …",NONE,Skipped: definitional/scoping
11B-219.4,Location,"Location If the assistive-listening system provided is limited to specific areas or seats, then such areas or seats shall be within a 50-foo…",NONE,Skipped: definitional/scoping
11B-219.5,Permanent and portable systems,Permanent and portable systems Permanently installed assistive-listening systems are required in areas if (1) they accommodate at least 50 p…,NONE,Skipped: definitional/scoping
11B-220,"AUTOMATIC TELLER MACHINES, FARE MACHINES AND POINT-OF-SALE DEVICES",,NONE,Skipped: definitional/scoping
11B-220.1,Three or more automatic teller machines or fare machines,Three or more automatic teller machines or fare machines Where three or more automatic teller machines or fare machines are provided at a lo…,NONE,Skipped: definitional/scoping
11B-220.2,Point-of-sale devices,"Point-of-sale devices Where point-of-sale devices are provided, all devices at each location shall comply with Sections 11B-707.3, 11B-707.7…",NONE,Skipped: definitional/scoping
11B-221,ASSEMBLY AREAS,,NONE,Skipped: definitional/scoping
11B-221.1,General,"General Assembly areas shall provide wheelchair spaces, companion seats, designated aisle seats and semi-ambulant seats complying with Secti…",NONE,Skipped: definitional/scoping
11B-221.2,Temporary structures,"Temporary structures Wheelchair spaces shall not be located on, or be obstructed by, temporary platforms or other movable structures. Except…",NONE,Skipped: definitional/scoping
11B-221.3,Companion seats,Companion seats At least one companion seat complying with Section 11B-802.3 shall be provided immediately adjacent to each wheelchair space…,NONE,Skipped: definitional/scoping
11B-221.4,Designated aisle seats,Designated aisle seats At least 5 percent of the total number of aisle seats provided shall comply with Section 11B-802.4 and shall be the a…,NONE,Skipped: definitional/scoping
11B-221.5,Lawn seating,"Lawn seating Lawn seating areas and exterior overflow seating areas, where fixed seats are not provided, shall connect to an accessible rout…",NONE,Skipped: definitional/scoping
11B-221.6,Semi-ambulant seats,"Semi-ambulant seats At least 1 percent of the total number of seats, and no fewer than two, shall be semi-ambulant seats complying with Sect…",NONE,Skipped: definitional/scoping
11B-222,Patient change areas.,,NONE,Skipped: definitional/scoping
11B-222.1,General,"General Where dressing rooms, fitting rooms or locker rooms are provided, at least 5 percent, but no fewer than one, of each type of use in …",NONE,Skipped: definitional/scoping
